user_name,prev_time,curr_time,transition,next_state,mainstream_risk_ratio,wemedia_risk_ratio,n_mainstream_targets_observed,n_wemedia_targets_observed,time_fe,n_posts,n_total_interactions,active_days,z_n_total_interactions,z_active_days,z_n_posts
独立小楼99,2022-12-04 18:49:00,2022-12-30 15:26:00,M->M,M,,,0,0,2022Q4,6,10,6,-1.291880137688853,-1.1228054825985176,-1.261556052434124
独立小楼99,2022-12-30 15:26:00,2022-12-31 15:00:00,M->M,M,0.25,,1,0,2022Q4,6,10,6,-1.291880137688853,-1.1228054825985176,-1.261556052434124
独立小楼99,2022-12-31 15:00:00,2023-01-08 14:50:00,M->M,M,0.0,,1,0,2023Q1,6,10,6,-1.291880137688853,-1.1228054825985176,-1.261556052434124
独立小楼99,2023-01-08 14:50:00,2023-01-10 11:48:00,M->M,M,0.0,,1,0,2023Q1,6,10,6,-1.291880137688853,-1.1228054825985176,-1.261556052434124
用户7821370827,2023-02-19 12:44:00,2023-02-19 17:04:00,M->H,H,,,0,0,2023Q1,8,40,4,-0.3243391961319635,-1.2669524924759212,-1.1718880093688466
用户7821370827,2023-02-19 17:04:00,2023-02-19 18:08:00,H->H,H,,,0,0,2023Q1,8,40,4,-0.3243391961319635,-1.2669524924759212,-1.1718880093688466
用户7821370827,2023-02-19 18:08:00,2023-02-19 20:15:00,H->H,H,,,0,0,2023Q1,8,40,4,-0.3243391961319635,-1.2669524924759212,-1.1718880093688466
用户7821370827,2023-02-19 20:15:00,2023-02-19 22:44:00,H->M,M,,,0,0,2023Q1,8,40,4,-0.3243391961319635,-1.2669524924759212,-1.1718880093688466
用户7821370827,2023-02-19 22:44:00,2023-02-20 06:07:00,M->H,H,,,0,0,2023Q1,8,40,4,-0.3243391961319635,-1.2669524924759212,-1.1718880093688466
用户7821370827,2023-02-20 06:07:00,2023-02-23 12:06:00,H->M,M,,,0,0,2023Q1,8,40,4,-0.3243391961319635,-1.2669524924759212,-1.1718880093688466
用户7821370827,2023-02-23 12:06:00,2023-02-26 21:00:00,M->M,M,,,0,0,2023Q1,8,40,4,-0.3243391961319635,-1.2669524924759212,-1.1718880093688466
秦梦琉,2022-12-01 14:50:00,2022-12-01 15:12:00,M->M,M,,,0,0,2022Q4,3,9,1,-1.3241315024074158,-1.4831730072920266,-1.3960581170320403
秦梦琉,2022-12-01 15:12:00,2022-12-01 18:22:00,M->M,M,,,0,0,2022Q4,3,9,1,-1.3241315024074158,-1.4831730072920266,-1.3960581170320403
茫茫本尊,2023-02-04 14:22:00,2023-02-04 14:29:00,L->L,L,1.0,,1,0,2023Q1,2,12,1,-1.2273774082517268,-1.4831730072920266,-1.440892138564679
郭晓东_,2023-01-07 20:46:00,2023-01-09 19:44:00,M->L,L,,,0,0,2023Q1,2,7,2,-1.3886342318445417,-1.4110995023533248,-1.440892138564679
陕西汉书下酒,2023-01-15 19:56:00,2023-01-15 20:49:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-15 20:49:00,2023-01-16 08:53:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-16 08:53:00,2023-01-16 11:49:00,M->M,M,0.5,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-16 11:49:00,2023-01-16 20:32:00,M->M,M,0.5,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-16 20:32:00,2023-01-16 22:01:00,M->M,M,0.5,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-16 22:01:00,2023-01-17 08:24:00,M->M,M,0.5,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-17 08:24:00,2023-01-18 10:41:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-18 10:41:00,2023-01-21 07:20:00,M->M,M,0.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-21 07:20:00,2023-01-21 09:23:00,M->M,M,0.5,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-21 09:23:00,2023-01-23 07:14:00,M->M,M,0.5,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-23 07:14:00,2023-01-23 07:17:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-23 07:17:00,2023-01-23 11:55:00,M->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-23 11:55:00,2023-01-24 11:51:00,M->L,L,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-24 11:51:00,2023-01-25 08:13:00,L->M,M,1.0,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
陕西汉书下酒,2023-01-25 08:13:00,2023-01-25 09:42:00,M->M,M,0.5,,1,0,2023Q1,45,57,25,0.22393400408360717,0.2465911112368161,0.4869707873387867
