user_name,out_weight,in_weight,out_neighbors,in_neighbors,total_weight
隐默_32238,6,6,1,1,12
央广网,0,12,0,12,12
金华磊哥,2,10,1,8,12
日本笑死我了,12,0,1,0,12
维维滴豆奶么么哒,12,0,10,0,12
翟医师,0,12,0,10,12
红茶魔术猫,0,12,0,12,12
卧龙山人168,12,0,7,0,12
九碥技术华泰砭石,12,0,1,0,12
科学未来人,1,11,1,11,12
维卡斯啦啦啦啦啦,12,0,10,0,12
中医韩娟,1,11,1,11,12
William-阿亮,0,12,0,12,12
快乐de小丸子O,12,0,2,0,12
斯图卡98,0,12,0,12,12
王虎的舰桥,0,12,0,12,12
大庆市中级人民法院,0,12,0,8,12
一柱擎天向太阳_天涯,3,9,3,9,12
多吃蓝莓胡萝卜,4,8,1,2,12
中医唐伟,4,8,2,6,12
believablehua,12,0,3,0,12
北京昌平,0,12,0,12,12
四爷就是准,0,12,0,12,12
热点视频,0,12,0,12,12
思想火炬,0,12,0,11,12
从善如流2021,12,0,7,0,12
少年伯爵,0,12,0,12,12
二十八画门徒,12,0,8,0,12
百分百自由,0,12,0,12,12
种花家的菌事兔,0,12,0,12,12
只爱斑比,12,0,8,0,12
锋潮科技,0,12,0,12,12
凤凰网,0,12,0,12,12
星星leo_,12,0,10,0,12
波浪女郎,12,0,9,0,12
宋中清主任律师,1,10,1,10,11
新民周刊,0,11,0,11,11
陕视新闻,0,11,0,11,11
天天都睡觉,11,0,9,0,11
上游新闻,0,11,0,11,11
梦里花落soso,11,0,11,0,11
石锋强988,11,0,3,0,11
明天的明1230,11,0,8,0,11
大奥蒙德街儿童医院GOSH,0,11,0,11,11
神农养生宝典,0,11,0,11,11
七百里加急递煎饼,0,11,0,8,11
薄世宁,0,11,0,10,11
学术大观察,0,11,0,11,11
阿记Tab,0,11,0,9,11
胶佬WJ,11,0,8,0,11
逐浪新闻,0,11,0,11,11
彼岸星光德尔塔,11,0,9,0,11
黑潮君,1,10,1,10,11
大铁无锋_582,11,0,3,0,11
lsmzcty,11,0,10,0,11
赵盛烨,2,9,2,8,11
苦茶子当饭吃,0,11,0,11,11
深圳第一想养狗人士,0,11,0,11,11
小葵花枫帅,0,11,0,7,11
帝吧官微,0,11,0,11,11
风中的厂长,0,11,0,11,11
用户6016697856,11,0,8,0,11
onnowere,11,0,9,0,11
中医的那一片天,0,11,0,11,11
保险狂人-于文博,0,11,0,4,11
青梅糖呀,11,0,7,0,11
微博医生社区,0,11,0,11,11
Amy小北京,1,10,1,10,11
如月舞2018,11,0,10,0,11
陈文波NP,0,11,0,11,11
单桂敏是我,6,5,2,1,11
还必须说不定不,11,0,11,0,11
对饮于江湖,11,0,7,0,11
揪鸠就酒,11,0,9,0,11
用户7612030497,11,0,11,0,11
布道宽窄,0,11,0,11,11
用户6225589040,11,0,6,0,11
非常朴,11,0,6,0,11
北京网络举报,0,11,0,11,11
干细胞-琦琦,0,10,0,8,10
济宁生态环境,0,10,0,5,10
瑶碧丹华,1,9,1,9,10
刘枪枪的猪头三生活,3,7,1,4,10
阿超_港媒视点,6,4,3,2,10
阿龙哥BLOG,2,8,1,7,10
竹篙堂堂主,10,0,6,0,10
那罗陀_银子,0,10,0,10,10
头条新闻,0,10,0,10,10
黄勇刚,1,9,1,9,10
国家应急广播,0,10,0,10,10
无所谓呦315,10,0,6,0,10
MaxBrahma,10,0,6,0,10
南风窗,0,10,0,10,10
jlj6661_pkl,10,0,3,0,10
红色光芒2017,2,8,2,6,10
阿莲瑞也,10,0,6,0,10
天津徐玉强,1,9,1,2,10
楊光的易经空间,10,0,7,0,10
医疗音乐手绘君,0,10,0,10,10
一条,0,10,0,10,10
桂哥猎手VIP777,4,6,1,3,10
我係盲俠,10,0,4,0,10
视知TV,1,9,1,9,10
待其来复,10,0,5,0,10
聽小啾喵喵喵,10,0,4,0,10
佳学基因解码基因检测,2,8,1,2,10
小猫咪来了嗷,10,0,8,0,10
永不止步168163,10,0,1,0,10
用户7827262682,10,0,1,0,10
山东长安网,0,10,0,9,10
小虎吉,10,0,7,0,10
独立小楼99,10,0,8,0,10
冰临神下的微博,2,8,1,7,10
迷惑沙雕bot,9,1,1,1,10
小朱观地球,1,9,1,9,10
神嘛事儿,0,10,0,10,10
人美脸太大头像放不下,0,10,0,9,10
李点点,0,10,0,10,10
不再拿螺丝戳你了,2,8,1,6,10
夕阳月色美,10,0,6,0,10
幻想生态保护研究会,1,9,1,9,10
钢七连的高老七,1,9,1,9,10
方糖山楂片,9,0,5,0,9
稀碎心情,9,0,5,0,9
百战刀,2,7,2,7,9
侠所闻,9,0,5,0,9
幸运的行者_,9,0,6,0,9
w彩运之男,0,9,0,6,9
无心简影,2,7,2,7,9
启贺,2,7,1,6,9
人民网,0,9,0,9,9
良子_3070,9,0,7,0,9
zhongdiangz,9,0,5,0,9
芹菜加萝卜,9,0,5,0,9
我是笑笑呀_1999,0,9,0,9,9
新浪健康派,0,9,0,5,9
揆度奇恒,1,8,1,8,9
iBingo,0,9,0,9,9
a多言数穷不如守中,9,0,7,0,9
秦梦琉,9,0,7,0,9
嘉善老顾,2,7,2,7,9
0080集齐某航OW了么,9,0,8,0,9
重庆舒忠余窝案,9,0,1,0,9
开车看白云,3,6,1,2,9
李八月0707,9,0,1,0,9
紫罗兰等等,9,0,6,0,9
超级猪猪球,9,0,5,0,9
安微宣城傅荣梅维权,9,0,1,0,9
达棍香蕉棒,9,0,7,0,9
海上升明月0837,9,0,2,0,9
shixiangjun111,9,0,3,0,9
平安江阳,0,9,0,9,9
苏南格林,9,0,3,0,9
田胤齐x2,9,0,7,0,9
羊角面包Sleepclaw,0,9,0,9,9
左董英子,9,0,4,0,9
ghuvsrhvjknvxswtukjlphcxguigeq,7,2,6,1,9
李兔氣,1,8,1,7,9
鱼川可奈子,9,0,4,0,9
居然说我昵称不可用艹,9,0,4,0,9
哈-哈哈哥,9,0,6,0,9
传与承丶草莽游侠李英俊,4,5,4,5,9
烟雨笙笙,9,0,2,0,9
moonn87,9,0,3,0,9
不爱吃粽子的蜗牛,8,1,6,1,9
淘淘姐66,9,0,3,0,9
悖论Nano,1,8,1,8,9
东京八十万萝莉教头喵喵冲,9,0,8,0,9
九派新闻,0,9,0,6,9
朱继东,0,9,0,9,9
巴音布鲁克天鹅湖96,9,0,4,0,9
黄安,0,9,0,9,9
空空空空rrr,9,0,8,0,9
溧阳人在珀斯,8,1,7,1,9
彩虹医生,0,9,0,6,9
黄濑濑濑濑,0,9,0,9,9
营养医师王兴国,1,8,1,8,9
斯莱妮,9,0,5,0,9
无穷的探索2,9,0,8,0,9
逸龙阁2,2,7,1,6,9
时光2024fhdfjjk,9,0,6,0,9
李塘-生态无添加食品,4,5,1,2,9
碎叫,0,9,0,9,9
重生字幕组,9,0,8,0,9
坐井观天的小肥羊,9,0,7,0,9
虚实畛域,9,0,4,0,9
日本xiao男孩,0,9,0,9,9
爱学习爱生活爱我,5,4,2,1,9
灰产圈_,0,9,0,8,9
祝佳音,0,9,0,9,9
恭喜你又发财了,0,9,0,9,9
金陵蒋三友,0,9,0,8,9
全民wisdom,7,2,6,1,9
无颜色不一样的烟火,0,9,0,8,9
江南小蝶52,5,4,2,1,9
用户6199982665,9,0,6,0,9
暴食症患者李舜生,0,9,0,9,9
蝶谷小青牛,0,9,0,8,9
御史在野,1,8,1,7,9
腾讯医典,0,9,0,6,9
幸福春天_空灵,9,0,6,0,9
京城英语课Jenny,0,9,0,9,9
桥边男孩May,0,9,0,9,9
时空点播,2,7,2,6,9
格式化52756,0,9,0,8,9
精彩东方,5,4,2,1,9
网眼八分斋,0,9,0,9,9
青春湖北,0,9,0,9,9
座山观虎,8,0,6,0,8
happypqp,0,8,0,7,8
上海徐汇发布,0,8,0,6,8
贝壳螺旋,8,0,8,0,8
卢健生,2,6,2,6,8
星弧权益,8,0,4,0,8
奔跑吧王大夫,8,0,6,0,8
应该是马甲吧,8,0,7,0,8
磐石之心,0,8,0,8,8
ROCKS穿越牛熊,8,0,7,0,8
黄毛秋莎,5,3,2,3,8
木烨彌,8,0,8,0,8
甄好古,8,0,8,0,8
临江真人,8,0,4,0,8
王成康Kingod,8,0,5,0,8
浙江发布,0,8,0,6,8
光与热white,2,6,1,3,8
又简单又趣闻的昵称,7,1,7,1,8
三思柯南,2,6,1,6,8
浮生看世界,8,0,5,0,8
春夏的风雨,8,0,4,0,8
赵铮-同志,0,8,0,8,8
三一三十一一,8,0,8,0,8
三无_六不,8,0,7,0,8
千万别给我放醋,8,0,4,0,8
yx希望_,8,0,8,0,8
鹰ying站在山顶远眺,8,0,5,0,8
怀念老前辈,8,0,5,0,8
万事支持哥,3,5,2,4,8
天降龙虾,8,0,6,0,8
来碗饸络面,8,0,7,0,8
-食品与养生-,8,0,7,0,8
拾光有未,8,0,5,0,8
寂多蔓生,2,6,2,6,8
陇南身边事,0,8,0,4,8
蒲城检察,0,8,0,4,8
LumiereNoire,8,0,8,0,8
明净芷心,0,8,0,2,8
王小亚,6,2,4,2,8
传承堂弟子丶万化子,8,0,5,0,8
葬剑叹箫心,8,0,7,0,8
类人幻觉体验师,1,7,1,7,8
周德一,0,8,0,8,8
肥肥小炸虾,8,0,8,0,8
蒲泽中医,0,8,0,8,8
潇洒的瑷娃,6,2,4,1,8
正合函子,8,0,8,0,8
坐家-五味俱全,0,8,0,8,8
板栗薯仔,0,8,0,8,8
娜娜子小朋友,0,8,0,8,8
火火火火6666,8,0,7,0,8
梨视频,0,8,0,8,8
测评小铺,1,7,1,6,8
Urnotprepared,8,0,7,0,8
默存涵德,8,0,6,0,8
楞伽烟雨,8,0,7,0,8
心善身自香,8,0,7,0,8
Zenobruto,8,0,7,0,8
深钉空净磊哥,2,6,2,6,8
用户5494427807,8,0,6,0,8
进击非洲的小欢总,8,0,8,0,8
微博时事,8,0,6,0,8
我是黑则酩,8,0,6,0,8
Fungi1314,8,0,8,0,8
Dr_任,2,6,2,6,8
生活井然有序微笑面对每一天,8,0,7,0,8
今日俄罗斯RT,1,7,1,7,8
蒋雍巴姆,8,0,6,0,8
柳华芳,0,8,0,8,8
Ariwergem27,0,8,0,8,8
陶唐中医TaotangTCM,1,7,1,5,8
